Title,Price,Date,Link
2016 MAZDA MX5 Miata Club Convertible 2D Convertible Black - FINANCE,20990,2021-02-10 13:53,https://charlottesville.craigslist.org/ctd/d/charlottesville-2016-mazda-mx5-miata/7275559927.html
2012 MAZDA MAZDA5 SPORT,4500,2021-02-03 18:08,https://charlottesville.craigslist.org/ctd/d/charlottesville-2012-mazda-mazda5-sport/7272246651.html
2019 MAZDA MX5 Miata Sport Convertible 2D Convertible White - FINANCE,24990,2021-02-02 09:53,https://charlottesville.craigslist.org/ctd/d/charlottesville-2019-mazda-mx5-miata/7271433304.html
2012 MAZDA MAZDA5 SPORT,4500,2021-01-26 12:19,https://charlottesville.craigslist.org/ctd/d/charlottesville-2012-mazda-mazda5-sport/7268060112.html
2012 MAZDA MAZDA5 SPORT,4500,2021-01-19 12:40,https://charlottesville.craigslist.org/ctd/d/charlottesville-2012-mazda-mazda5-sport/7264517340.html
2000 Dodge Dakota,1999,2021-01-29 20:32,https://charlottesville.craigslist.org/ctd/d/charlottesville-2000-dodge-dakota/7269842245.html
2012 Chrysler 200 new inspection reliable,3495,2021-01-28 11:24,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-chrysler-200-new/7269029575.html
